226,439,Wii,2012.0,Misc,Nintendo,1.06,1.09,0.76,73.0,45.0,6.8,155.0,E
227,442,DS,2005.0,Platform,Sega,1.21,1.56,0.06,82.0,43.0,8.5,101.0,E
228,445,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.03,0.1,82.0,57.0,7.8,492.0,M
229,448,3DS,2013.0,Action,Nintendo,1.4,1.01,0.46,91.0,81.0,8.9,1057.0,E
230,455,PC,2002.0,Simulation,Electronic Arts,1.72,1.21,0.0,75.0,18.0,7.8,22.0,T
231,460,DS,2008.0,Action,Warner Bros. Interactive Entertainment,1.75,1.01,0.0,72.0,16.0,8.0,16.0,E10+
232,463,PS3,2010.0,Adventure,Sony Computer Entertainment,1.29,1.21,0.06,87.0,107.0,7.7,2759.0,M
233,466,XB,2002.0,Action,Ubisoft,1.85,1.04,0.0,93.0,46.0,8.5,121.0,T
234,470,PS3,2009.0,Shooter,Sony Computer Entertainment,1.4,1.06,0.08,91.0,94.0,8.1,1505.0,M
235,471,X360,2012.0,Shooter,Ubisoft,1.38,1.32,0.02,91.0,39.0,8.6,1247.0,M
236,477,PC,2000.0,Misc,Electronic Arts,1.67,1.18,0.0,82.0,23.0,6.6,20.0,T
237,480,PC,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,85.0,73.0,5.9,2748.0,T
238,481,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,84.0,85.0,8.1,1886.0,M
239,482,PS2,2003.0,Platform,Sega,1.04,1.37,0.06,64.0,29.0,7.8,94.0,E
240,483,PS2,2002.0,Action,Eidos Interactive,1.36,1.15,0.04,85.0,19.0,7.8,78.0,M
241,485,PS3,2010.0,Shooter,Electronic Arts,1.33,1.1,0.08,88.0,59.0,8.5,572.0,M
242,497,PS2,2004.0,Misc,Sega,1.54,1.14,0.0,73.0,21.0,8.6,30.0,E
243,501,Wii,2007.0,Simulation,505 Games,1.41,1.12,0.05,61.0,37.0,5.3,23.0,E
244,502,PS2,2004.0,Shooter,Activision,1.51,1.12,0.01,76.0,49.0,7.7,69.0,T
245,509,PS4,2013.0,Action,Ubisoft,1.07,1.31,0.06,83.0,29.0,7.8,1530.0,M
246,522,PS3,2010.0,Shooter,Electronic Arts,1.28,1.04,0.07,75.0,56.0,7.5,286.0,M
247,536,PS3,2010.0,Racing,Electronic Arts,1.05,1.23,0.03,89.0,59.0,7.2,301.0,E10+
248,537,Wii,2011.0,Action,Activision,1.35,1.13,0.0,81.0,11.0,5.6,31.0,E10+
249,540,PS2,2003.0,Simulation,Electronic Arts,1.41,1.12,0.0,83.0,33.0,7.7,46.0,T
250,545,X360,2011.0,Action,THQ,1.25,1.14,0.07,84.0,70.0,7.6,490.0,M
251,551,Wii,2007.0,Platform,Sega,1.21,1.19,0.04,69.0,44.0,6.6,174.0,E
